created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive,row_timestamp,error_logging
2022-01-07 01:02:19.034 -0800,2019_CBG_C02,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,10757120,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:19.059 -0800,2019_CBG_C15,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,26738176,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.921 -0800,2019_CBG_C16,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,7401984,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.937 -0800,2019_CBG_C17,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,5173248,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.975 -0800,2019_CBG_C21,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,15931392,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.867 -0800,2019_CBG_C24,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,143479808,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-05-06 02:05:55.731 -0700,2019_CBG_GEOMETRY,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220740,2517531648,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-05-06 02:05:55.731 -0700,2019_CBG_GEOMETRY_WKT,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,Geometry column set as Varchar data column type with WKT value,,220740,707134464,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.900 -0800,2019_CBG_PATTERNS,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220735,60075008,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.919 -0800,2019_METADATA_CBG_FIELD_DESCRIPTIONS,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,8120,285184,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.934 -0800,2019_METADATA_CBG_FIPS_CODES,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,3233,25600,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.935 -0800,2019_METADATA_CBG_GEOGRAPHIC_DATA,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,6178816,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.564 -0700,2020_CBG_B01,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,41490432,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.990 -0700,2020_CBG_B02,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,11100160,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.805 -0700,2020_CBG_B03,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,15811584,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.523 -0700,2020_CBG_B07,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,22396416,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.825 -0700,2020_CBG_B08,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,151310336,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.254 -0700,2020_CBG_B09,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,60989440,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.485 -0700,2020_CBG_B11,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,198917632,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.701 -0700,2020_CBG_B12,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,12094464,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.333 -0700,2020_CBG_B14,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,135657984,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.996 -0700,2020_CBG_B15,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,62604288,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.208 -0700,2020_CBG_B16,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,35051520,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.461 -0700,2020_CBG_B17,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,75592192,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.191 -0700,2020_CBG_B19,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,189167616,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.189 -0700,2020_CBG_B20,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,61587968,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.640 -0700,2020_CBG_B21,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,30466560,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.976 -0700,2020_CBG_B22,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,4691968,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.066 -0700,2020_CBG_B23,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,182122496,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.653 -0700,2020_CBG_B24,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,12537344,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.541 -0700,2020_CBG_B25,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,590139392,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.175 -0700,2020_CBG_B27,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,35865088,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.738 -0700,2020_CBG_B28,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,137385472,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
